Start,End
0.0,153.6
153.6,158.68
158.68,166.12
166.12,168.44
168.44,196.32
196.32,201.24
201.24,211.88
211.88,217.6
217.6,226.08
226.08,230.64
230.64,235.76
235.76,239.84
239.84,244.96
244.96,248.12
248.12,249.96
249.96,255.6
255.6,257.4
257.4,260.24
260.24,268.24
268.24,278.08
278.08,290.32
290.32,296.08
296.08,301.28
301.28,305.04
305.04,318.76
318.76,334.6
334.6,336.24
336.24,338.08
338.08,339.6
339.6,342.84
342.84,343.6
343.6,345.96
345.96,350.12
350.12,352.72
352.72,354.4
354.4,355.88
355.88,356.96
356.96,359.12
359.12,361.0
361.0,366.8
366.8,368.36
368.36,369.28
369.28,372.56
372.56,374.04
374.04,375.36
375.36,378.0
378.0,380.8
380.8,382.68
382.68,383.6
383.6,386.84
386.84,390.52
390.52,392.48
392.48,398.6
398.6,400.56
400.56,406.4
406.4,412.24
412.24,429.12
429.12,435.12
435.12,441.4
441.4,444.64
444.64,448.64
448.64,453.36
453.36,469.52
469.52,474.8
474.8,476.24
476.24,518.6
518.6,543.52
543.52,561.72
561.72,567.56
567.56,570.04
570.04,572.48
572.48,595.6
595.6,614.28
614.28,621.16
621.16,622.52
622.52,625.24
625.24,628.72
628.72,630.76
630.76,636.0
636.0,641.16
641.16,643.16
643.16,647.36
647.36,659.6
659.6,661.88
661.88,668.04
668.04,672.76
672.76,676.12
676.12,679.8
679.8,684.48
684.48,686.84
686.84,688.04
688.04,689.64
689.64,691.48
691.48,695.32
695.32,704.76
704.76,711.76
711.76,716.24
716.24,733.48
733.48,735.52
735.52,738.48
738.48,741.56
741.56,744.76
744.76,761.24
761.24,763.56
763.56,764.84
764.84,766.52
766.52,769.52
769.52,771.04
771.04,773.8
773.8,777.04
777.04,781.24
781.24,784.24
784.24,790.76
790.76,793.76
793.76,802.16
802.16,805.48
805.48,812.0
812.0,815.0
815.0,816.24
816.24,820.68
820.68,840.88
840.88,845.88
845.88,851.56
851.56,854.56
854.56,886.2
886.2,891.48
891.48,896.72
896.72,899.6
899.6,902.08
902.08,903.8
903.8,906.76
906.76,908.68
908.68,912.88
912.88,915.0
915.0,921.04
921.04,930.24
930.24,966.36
966.36,973.32
973.32,981.72
981.72,988.04
988.04,992.24
992.24,1000.6
1000.6,1014.52
1014.52,1030.12
1030.12,1043.4
1043.4,1049.52
1049.52,1052.6
1052.6,1055.04
1055.04,1064.36
1064.36,1075.32
1075.32,1078.56
1078.56,1085.92
1085.92,1089.8
1089.8,1133.36
1133.36,1138.08
1138.08,1140.88
1140.88,1142.64
1142.64,1144.92
1144.92,1151.84
1151.84,1154.16
1154.16,1155.92
1155.92,1170.96
1170.96,1173.52
1173.52,1184.84
1184.84,1187.88
1187.88,1193.32
1193.32,1196.16
1196.16,1201.76
1201.76,1204.68
1204.68,1206.72
1206.72,1209.32
1209.32,1219.88
1219.88,1222.64
1222.64,1224.16
1224.16,1226.56
1226.56,1228.36
1228.36,1229.04
1229.04,1229.72
1229.72,1232.92
1232.92,1234.68
1234.68,1238.64
1238.64,1240.32
1240.32,1242.28
1242.28,1244.08
1244.08,1257.72
1257.72,1260.04
1260.04,1261.16
1261.16,1264.6
1264.6,1268.6
1268.6,1272.0
1272.0,1273.8
1273.8,1276.8
1276.8,1278.92
1278.92,1286.88
1286.88,1295.2
1295.2,1297.48
1297.48,1302.92
1302.92,1314.88
1314.88,1318.52
1318.52,1333.56
1333.56,1349.28
1349.28,1352.16
1352.16,1357.0
1357.0,1362.52
1362.52,1366.0
1366.0,1370.32
1370.32,1378.92
1378.92,1382.84
1382.84,1385.16
1385.16,1390.72
1390.72,1396.28
1396.28,1400.52
1400.52,1419.52
1419.52,1423.08
1423.08,1424.56
1424.56,1428.76
1428.76,1434.24
1434.24,1435.24
1435.24,1436.4
1436.4,1442.76
1442.76,1445.32
1445.32,1451.44
1451.44,1453.16
1453.16,1465.36
1465.36,1470.8
1470.8,1474.72
1474.72,1479.64
1479.64,1480.24
1480.24,1481.36
1481.36,1483.6
1483.6,1485.84
1485.84,1487.6
1487.6,1488.44
1488.44,1490.84
1490.84,1492.36
1492.36,1494.48
1494.48,1496.0
1496.0,1501.8
1501.8,1504.4
1504.4,1506.0
1506.0,1507.32
1507.32,1508.48
1508.48,1509.6
1509.6,1510.0
1510.0,1510.68
1510.68,1512.4
1512.4,1512.96
1512.96,1514.08
1514.08,1515.68
1515.68,1517.36
1517.36,1518.4
1518.4,1522.84
1522.84,1525.56
1525.56,1528.56
1528.56,1531.12
1531.12,1532.88
1532.88,1534.28
1534.28,1536.24
1536.24,1537.68
1537.68,1541.04
1541.04,1541.44
1541.44,1542.96
1542.96,1545.44
1545.44,1548.12
1548.12,1549.64
1549.64,1551.12
1551.12,1559.16
1559.16,1561.28
1561.28,1564.0
1564.0,1567.96
1567.96,1576.36
1576.36,1583.2
1583.2,1587.0
1587.0,1588.96
1588.96,1591.2
1591.2,1592.48
1592.48,1593.4
1593.4,1594.72
1594.72,1599.72
1599.72,1606.4
1606.4,1608.08
1608.08,1612.48
1612.48,1615.2
1615.2,1618.2
1618.2,1624.36
1624.36,1626.64
1626.64,1630.68
1630.68,1633.08
1633.08,1634.24
1634.24,1636.04
1636.04,1638.56
1638.56,1639.84
1639.84,1645.36
1645.36,1648.2
1648.2,1653.4
1653.4,1655.92
1655.92,1658.0
1658.0,1660.36
1660.36,1661.84
1661.84,1662.6
1662.6,1667.72
1667.72,1676.52
1676.52,1679.8
1679.8,1680.8
1680.8,1683.0
1683.0,1683.92
1683.92,1684.92
1684.92,1685.72
1685.72,1687.44
1687.44,1689.88
1689.88,1692.72
1692.72,1693.04
1693.04,1693.52
1693.52,1695.44
1695.44,1696.28
1696.28,1699.52
1699.52,1700.64
1700.64,1702.08
1702.08,1703.4
1703.4,1707.16
1707.16,1709.4
1709.4,1711.04
1711.04,1712.6
1712.6,1714.2
1714.2,1716.44
1716.44,1716.84
1716.84,1718.76
1718.76,1721.56
1721.56,1723.04
1723.04,1724.64
1724.64,1726.28
1726.28,1729.24
1729.24,1732.0
1732.0,1734.64
1734.64,1737.24
1737.24,1739.72
1739.72,1750.6
1750.6,1764.96
1764.96,1766.76
1766.76,1777.76
1777.76,1782.52
1782.52,1785.28
1785.28,1788.08
1788.08,1794.36
1794.36,1797.16
1797.16,1800.68
1800.68,1804.0
1804.0,1810.44
1810.44,1816.52
1816.52,1848.24
1848.24,1859.84
1859.84,1860.84
1860.84,1863.48
1863.48,1865.4
1865.4,1882.48
1882.48,1887.52
1887.52,1892.0
1892.0,1943.44
1943.44,1948.8
1948.8,1956.72
1956.72,1961.24
1961.24,1965.68
1965.68,1968.24
1968.24,1973.36
1973.36,1991.36
1991.36,1993.44
1993.44,1997.08
1997.08,1999.12
1999.12,2001.64
2001.64,2006.0
2006.0,2008.32
2008.32,2009.76
2009.76,2011.36
2011.36,2012.2
2012.2,2014.68
2014.68,2028.24
2028.24,2029.48
2029.48,2032.2
2032.2,2034.2
2034.2,2036.12
2036.12,2049.36
2049.36,2065.76
2065.76,2084.56
2084.56,2090.4
2090.4,2100.2
2100.2,2115.36
2115.36,2127.96
2127.96,2133.28
2133.28,2144.32
2144.32,2146.56
2146.56,2148.08
2148.08,2152.0
2152.0,2162.32
2162.32,2169.2
2169.2,2178.32
2178.32,2179.64
2179.64,2184.4
2184.4,2185.24
2185.24,2187.68
2187.68,2188.48
2188.48,2190.92
2190.92,2193.36
2193.36,2200.76
2200.76,2209.96
2209.96,2253.32
2253.32,2259.16
2259.16,2272.68
2272.68,2275.52
2275.52,2298.36
2298.36,2321.84
2321.84,2325.28
2325.28,2327.76
2327.76,2343.92
2343.92,2365.08
2365.08,2368.24
2368.24,2369.6
2369.6,2371.88
2371.88,2375.2
2375.2,2376.68
2376.68,2378.04
2378.04,2385.88
2385.88,2398.92
2398.92,2401.04
2401.04,2405.32
2405.32,2409.96
2409.96,2414.4
2414.4,2417.84
2417.84,2426.4
2426.4,2427.52
2427.52,2429.4
2429.4,2430.92
2430.92,2432.56
2432.56,2433.56
2433.56,2436.64
2436.64,2438.44
2438.44,2440.92
2440.92,2441.84
2441.84,2443.0
2443.0,2443.96
2443.96,2445.92
2445.92,2455.72
2455.72,2458.76
2458.76,2460.56
2460.56,2462.52
2462.52,2464.24
2464.24,2465.92
2465.92,2467.28
2467.28,2471.64
2471.64,2472.96
2472.96,2486.64
2486.64,2489.24
2489.24,2491.36
2491.36,2496.52
2496.52,2500.64
2500.64,2543.84
2543.84,2595.68
2595.68,2603.96
2603.96,2605.52
2605.52,2608.96
2608.96,2610.52
2610.52,2612.2
2612.2,2613.88
2613.88,2624.92
2624.92,2630.96
2630.96,2637.12
2637.12,2639.6
2639.6,2644.12
2644.12,2646.6
2646.6,2662.84
2662.84,2667.8
2667.8,2670.64
2670.64,2672.84
2672.84,2675.28
2675.28,2677.84
